matrix,implementation,rows,cols,nnz,threads,blocks,time_min_ms,time_max_ms,time_avg_ms,time_geomean_ms,time_stddev_ms,gflopss_min,gflopss_max,gflopss_avg,gflopss_avg_geo,gflopss_std,bandwidth_min_gbs,bandwidth_max_gbs,bandwidth_avg_gbs,bandwidth_avg_gbs_geo,bandwidth_std,rmse_min,rmse_max,rmse_avg,rmse_geomean,rmse_stddev,raw_time_ms,raw_gflopss_ms,raw_bandwidth_gbs,raw_rmse
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO CPU,682712,682712,2329176,0,0,15.500000,28.118000,19.681797,19.380737,3.786667,0.165672,0.300539,0.243836,0.240360,0.042172,1.325372,2.404311,1.950688,1.922879,0.337372,0.000000,0.000000,0.000000,0.000000,0.000000,"22.000999;28.118000;18.690001;20.396999;22.143000;19.488001;18.150000;16.583000;15.748000;15.500000","0.211734;0.165672;0.249243;0.228384;0.210376;0.239037;0.256659;0.280911;0.295806;0.300539","1.693869;1.325372;1.993944;1.827073;1.683007;1.912295;2.053268;2.247290;2.366447;2.404311",""
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO NVDA,682712,682712,2329176,256,9099,1.618720,1.633280,1.624096,1.624088,0.005284,2.852145,2.877800,2.868301,2.868288,0.009307,22.817162,23.022398,22.946407,22.946301,0.074454,0.000319,0.000319,0.000319,0.000319,0.000000,"1.633280;1.620992;1.623040;1.633056;1.618944;1.625024;1.622848;1.618720;1.619968;1.625088","2.852145;2.873766;2.870140;2.852536;2.877402;2.866636;2.870480;2.877800;2.875583;2.866523","22.817162;22.990129;22.961121;22.820292;23.019213;22.933088;22.963837;23.022398;23.004662;22.932184","0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319;0.000319"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,COO cuSparse,682712,682712,2329176,0,0,1.085440,1.088384,1.087034,1.087033,0.000933,4.280063,4.291671,4.285383,4.285381,0.003677,34.240505,34.333370,34.283062,34.283051,0.029414,0.000606,0.000606,0.000606,0.000606,0.000000,"1.087392;1.086464;1.085440;1.086464;1.086464;1.086464;1.087456;1.088384;1.088320;1.087488","4.283967;4.287626;4.291671;4.287626;4.287626;4.287626;4.283716;4.280063;4.280314;4.283589","34.271740;34.301010;34.333370;34.301010;34.301010;34.301010;34.269726;34.240505;34.242516;34.268711","0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR CPU,682712,682712,2329176,0,0,12.899000,13.620000,13.267500,13.265437,0.246954,0.342023,0.361141,0.351219,0.351165,0.006510,2.453143,2.590264,2.519102,2.518711,0.046690,0.000000,0.000000,0.000000,0.000000,0.000000,"13.531000;12.899000;13.620000;13.599000;13.173000;13.192000;13.090000;13.115000;13.092000;13.364000","0.344273;0.361141;0.342023;0.342551;0.353629;0.353119;0.355871;0.355193;0.355817;0.348575","2.469279;2.590264;2.453143;2.456931;2.536386;2.532732;2.552468;2.547603;2.552078;2.500135",""
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR NVDA,682712,682712,2329176,256,2667,1.519616,1.544160,1.530349,1.530333,0.007292,3.016755,3.065480,3.044043,3.044012,0.014475,21.637529,21.987007,21.833248,21.833029,0.103823,0.000885,0.000885,0.000885,0.000885,0.000000,"1.527808;1.536832;1.523712;1.544160;1.527808;1.531904;1.537184;1.525632;1.528832;1.519616","3.049043;3.031140;3.057239;3.016755;3.049043;3.040890;3.030445;3.053391;3.047001;3.065480","21.869116;21.740704;21.927902;21.637529;21.869116;21.810642;21.735723;21.900307;21.854467;21.987007","0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR Vector NVDA,682712,682712,2329176,256,85339,7.887872,7.892992,7.890326,7.890326,0.001940,0.590188,0.590571,0.590388,0.590388,0.000145,4.233098,4.235846,4.234528,4.234528,0.001041,0.000686,0.000686,0.000686,0.000686,0.000000,"7.889920;7.887872;7.891936;7.888896;7.892992;7.887872;7.890944;7.888896;7.892992;7.890944","0.590418;0.590571;0.590267;0.590495;0.590188;0.590571;0.590342;0.590495;0.590188;0.590342","4.234746;4.235846;4.233665;4.235296;4.233098;4.235846;4.234197;4.235296;4.233098;4.234197","0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686"
./Dataset/ASIC_680ks/ASIC_680ks.mtx,CSR cuSparse NVDA,682712,682712,2329176,0,0,0.992256,1.000320,0.994803,0.994801,0.002441,4.656862,4.694708,4.682712,4.682700,0.011461,33.401123,33.672569,33.586533,33.586441,0.082203,0.000606,0.000606,0.000606,0.000606,0.000000,"0.992256;0.994304;0.993280;0.993280;0.994304;0.996352;0.996352;0.995328;1.000320;0.992256","4.694708;4.685038;4.689868;4.689868;4.685038;4.675408;4.675408;4.680218;4.656862;4.694708","33.672569;33.603210;33.637856;33.637856;33.603210;33.534142;33.534142;33.568642;33.401123;33.672569","0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606"
./Dataset/bone010/bone010.mtx,COO CPU,986703,986703,36326512,0,0,175.037003,191.483994,179.375198,179.320801,4.724225,0.379421,0.415072,0.405276,0.405157,0.010228,3.035367,3.320579,3.242209,3.241254,0.081823,0.000000,0.000000,0.000000,0.000000,0.000000,"191.483994;177.643997;179.259995;179.824005;179.212006;175.806000;177.714005;175.037003;176.039001;181.731995","0.379421;0.408981;0.405294;0.404023;0.405403;0.413257;0.408820;0.415072;0.412710;0.399781","3.035367;3.271848;3.242353;3.232183;3.243221;3.306054;3.270559;3.320579;3.301678;3.198249",""
./Dataset/bone010/bone010.mtx,COO NVDA,986703,986703,36326512,256,141901,43.447296,43.569153,43.508308,43.508289,0.041604,1.667534,1.672210,1.669867,1.669866,0.001597,13.340268,13.377684,13.358935,13.358930,0.012775,0.007126,0.007139,0.007134,0.007134,0.000004,"43.464703;43.447296;43.554817;43.512833;43.514687;43.569153;43.535358;43.475967;43.470848;43.537407","1.671541;1.672210;1.668082;1.669692;1.669621;1.667534;1.668828;1.671108;1.671304;1.668749","13.372326;13.377684;13.344659;13.357535;13.356966;13.340268;13.350624;13.368862;13.370436;13.349996","0.007131;0.007139;0.007126;0.007133;0.007135;0.007137;0.007130;0.007137;0.007131;0.007137"
./Dataset/bone010/bone010.mtx,COO cuSparse,986703,986703,36326512,0,0,12.777472,12.786688,12.782593,12.782592,0.003481,5.681927,5.686025,5.683748,5.683748,0.001548,45.455418,45.488201,45.469982,45.469982,0.012382,0.006005,0.006005,0.006005,0.006005,0.000000,"12.786688;12.784640;12.786688;12.780544;12.777472;12.780544;12.777472;12.782592;12.785664;12.783616","5.681927;5.682837;5.681927;5.684658;5.686025;5.684658;5.686025;5.683747;5.682382;5.683292","45.455418;45.462696;45.455418;45.477264;45.488201;45.477264;45.488201;45.469978;45.459057;45.466335","0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005"
./Dataset/bone010/bone010.mtx,CSR CPU,986703,986703,36326512,0,0,127.331001,140.091995,134.065887,133.989746,4.757016,0.518609,0.570584,0.542537,0.542228,0.019326,3.168003,3.485497,3.314169,3.312282,0.118058,0.000000,0.000000,0.000000,0.000000,0.000000,"132.259995;137.453995;131.197006;140.091995;127.331001;133.729004;139.679001;132.574997;138.809006;127.532997","0.549320;0.528562;0.553770;0.518609;0.570584;0.543285;0.520143;0.548015;0.523403;0.569680","3.355601;3.228802;3.382789;3.168003;3.485497;3.318740;3.177369;3.347628;3.197284;3.479976",""
./Dataset/bone010/bone010.mtx,CSR NVDA,986703,986703,36326512,256,3855,37.961761,38.310913,38.097206,38.097095,0.097242,1.896405,1.913847,1.907054,1.907049,0.004856,11.584474,11.691022,11.649526,11.649491,0.029667,0.004203,0.004203,0.004203,0.004203,0.000000,"38.047745;38.310913;38.059010;38.088703;38.195202;38.018047;38.109184;38.068226;38.113281;37.961761","1.909523;1.896405;1.908957;1.907469;1.902151;1.911014;1.906444;1.908495;1.906239;1.913847","11.664601;11.584474;11.661149;11.652058;11.619569;11.673713;11.645796;11.658326;11.644544;11.691022","0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203;0.004203"
./Dataset/bone010/bone010.mtx,CSR Vector NVDA,986703,986703,36326512,256,123338,18.124800,18.187040,18.150787,18.150780,0.018219,3.994769,4.008487,4.002751,4.002750,0.004016,24.402637,24.486439,24.451403,24.451389,0.024532,0.006481,0.006481,0.006481,0.006481,0.000000,"18.163712;18.134016;18.153473;18.124800;18.150400;18.141184;18.135040;18.187040;18.153473;18.164736","3.999900;4.006450;4.002156;4.008487;4.002833;4.004867;4.006224;3.994769;4.002156;3.999674","24.433981;24.473991;24.447762;24.486439;24.451900;24.464321;24.472610;24.402637;24.447762;24.432602","0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481;0.006481"
./Dataset/bone010/bone010.mtx,CSR cuSparse NVDA,986703,986703,36326512,0,0,9.827328,9.851904,9.842175,9.842174,0.007148,7.374516,7.392959,7.381808,7.381807,0.005364,45.048325,45.160984,45.092873,45.092861,0.032765,0.006005,0.006005,0.006005,0.006005,0.000000,"9.844736;9.835520;9.846784;9.851904;9.827328;9.839616;9.838592;9.844736;9.843712;9.848832","7.379886;7.386800;7.378351;7.374516;7.392959;7.383726;7.384494;7.379886;7.380653;7.376816","45.081123;45.123367;45.071751;45.048325;45.160984;45.104584;45.109280;45.081123;45.085815;45.062374","0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005;0.006005"
./Dataset/boyd2/boyd2.mtx,COO CPU,466316,466316,890091,0,0,4.269000,4.411000,4.309900,4.309690,0.044982,0.403578,0.417002,0.413085,0.413065,0.004260,3.228623,3.336017,3.304679,3.304519,0.034078,0.000000,0.000000,0.000000,0.000000,0.000000,"4.411000;4.269000;4.288000;4.281000;4.331000;4.357000;4.301000;4.306000;4.269000;4.286000","0.403578;0.417002;0.415154;0.415833;0.411033;0.408580;0.413900;0.413419;0.417002;0.415348","3.228623;3.336017;3.321235;3.326666;3.288260;3.268638;3.311196;3.307352;3.336017;3.322785",""
./Dataset/boyd2/boyd2.mtx,COO NVDA,466316,466316,890091,256,3477,0.596992,0.607232,0.601190,0.601182,0.003429,2.931634,2.981919,2.961182,2.961138,0.016829,23.453074,23.855354,23.689453,23.689108,0.134630,671.796631,2184.261719,1463.564697,1366.289307,528.422180,"0.603136;0.599040;0.607232;0.600064;0.606208;0.602112;0.599040;0.596992;0.600064;0.598016","2.951543;2.971725;2.931634;2.966654;2.936586;2.956563;2.971725;2.981919;2.966654;2.976813","23.612347;23.773800;23.453074;23.733231;23.492687;23.652504;23.773800;23.855354;23.733231;23.814507","1284.900146;1313.260010;1030.291870;2052.185547;1651.146606;2184.261719;1816.489380;1851.642456;671.796631;779.671631"
./Dataset/boyd2/boyd2.mtx,COO cuSparse,466316,466316,890091,0,0,0.499520,0.508928,0.500803,0.500796,0.002918,3.497905,3.563785,3.554761,3.554708,0.020432,27.983244,28.510283,28.438089,28.437662,0.163458,2519.123047,2778.188965,2638.468750,2637.609131,71.149063,"0.499712;0.499712;0.499712;0.499712;0.499712;0.508928;0.499520;0.501600;0.499712;0.499712","3.562416;3.562416;3.562416;3.562416;3.562416;3.497905;3.563785;3.549007;3.562416;3.562416","28.499329;28.499329;28.499329;28.499329;28.499329;27.983244;28.510283;28.392056;28.499329;28.499329","2607.603271;2778.188965;2607.603271;2663.518066;2519.123047;2607.603271;2577.405029;2663.085693;2695.741699;2664.814453"
./Dataset/boyd2/boyd2.mtx,CSR CPU,466316,466316,890091,0,0,4.187000,4.706000,4.362300,4.359264,0.173242,0.378279,0.425169,0.408646,0.408368,0.015764,3.062393,3.441992,3.308234,3.305975,0.127618,0.000000,0.000000,0.000000,0.000000,0.000000,"4.706000;4.569000;4.469000;4.405000;4.280000;4.223000;4.214000;4.234000;4.336000;4.187000","0.378279;0.389622;0.398340;0.404128;0.415930;0.421544;0.422445;0.420449;0.410559;0.425169","3.062393;3.154218;3.224797;3.271650;3.367201;3.412650;3.419938;3.403784;3.323713;3.441992",""
./Dataset/boyd2/boyd2.mtx,CSR NVDA,466316,466316,890091,256,1822,1.106848,1.127424,1.117853,1.117837,0.006307,1.578982,1.608335,1.592547,1.592524,0.008984,12.782786,13.020415,12.892604,12.892419,0.072729,0.000000,0.000000,0.000000,1.000000,0.000000,"1.125376;1.115136;1.114944;1.119232;1.124352;1.114112;1.116992;1.114112;1.127424;1.106848","1.581855;1.596381;1.596656;1.590539;1.583296;1.597848;1.593729;1.597848;1.578982;1.608335","12.806049;12.923643;12.925869;12.876347;12.817712;12.935522;12.902169;12.935522;12.782786;13.020415","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/boyd2/boyd2.mtx,CSR Vector NVDA,466316,466316,890091,256,58290,5.349376,5.352448,5.351501,5.351501,0.001020,0.332592,0.332783,0.332651,0.332651,0.000063,2.692529,2.694075,2.693005,2.693005,0.000513,2638.764648,2638.764648,2638.764893,2638.764648,0.000257,"5.351424;5.352416;5.351200;5.351424;5.352448;5.350400;5.349376;5.352448;5.351424;5.352448","0.332656;0.332594;0.332670;0.332656;0.332592;0.332719;0.332783;0.332592;0.332656;0.332592","2.693044;2.692545;2.693156;2.693044;2.692529;2.693559;2.694075;2.692529;2.693044;2.692529","2638.764648;2638.764648;2638.764648;2638.764648;2638.764648;2638.764648;2638.764648;2638.764648;2638.764648;2638.764648"
./Dataset/boyd2/boyd2.mtx,CSR cuSparse NVDA,466316,466316,890091,0,0,0.492544,0.500736,0.496819,0.496814,0.002508,3.555131,3.614260,3.583241,3.583200,0.018095,28.780874,29.259558,29.008442,29.008108,0.146493,2638.764648,2814.420654,2737.303223,2736.863770,51.460461,"0.496640;0.499712;0.492544;0.496640;0.494432;0.498592;0.496640;0.500736;0.497664;0.494592","3.584451;3.562416;3.614260;3.584451;3.600459;3.570418;3.584451;3.555131;3.577076;3.599294","29.018242;28.839851;29.259558;29.018242;29.147829;28.904636;29.018242;28.780874;28.958534;29.138399","2750.283447;2663.518066;2778.603271;2750.283447;2750.283447;2750.283447;2814.420654;2751.539062;2638.764648;2725.051025"
./Dataset/eu-2005/eu-2005.mtx,COO CPU,862664,862664,19235140,0,0,95.662003,99.898003,97.210709,97.199486,1.562206,0.385096,0.402148,0.395832,0.395787,0.006289,3.080765,3.217184,3.166657,3.166295,0.050312,0.000000,0.000000,0.000000,0.000000,0.000000,"98.198997;97.327003;95.732002;96.266998;99.898003;99.667000;96.456001;96.957001;95.662003;95.942001","0.391758;0.395268;0.401854;0.399621;0.385096;0.385988;0.398838;0.396777;0.402148;0.400974","3.134067;3.162147;3.214831;3.196965;3.080765;3.087905;3.190701;3.174214;3.217184;3.207795",""
./Dataset/eu-2005/eu-2005.mtx,COO NVDA,862664,862664,19235140,256,75138,22.488064,22.579201,22.538239,22.538221,0.030898,1.703793,1.710698,1.706892,1.706891,0.002341,13.630343,13.685582,13.655138,13.655126,0.018727,0.000000,0.000000,0.000000,1.000000,0.000000,"22.542336;22.488064;22.508545;22.557695;22.579201;22.517759;22.551552;22.569984;22.506496;22.560768","1.706579;1.710698;1.709141;1.705417;1.703793;1.708442;1.705882;1.704489;1.709297;1.705185","13.652633;13.685582;13.673129;13.643337;13.630343;13.667534;13.647054;13.635908;13.674374;13.641479","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/eu-2005/eu-2005.mtx,COO cuSparse,862664,862664,19235140,0,0,7.195648,7.214080,7.200871,7.200868,0.005802,5.332666,5.346326,5.342452,5.342450,0.004300,42.661327,42.770607,42.739616,42.739601,0.034398,0.000000,0.000000,0.000000,1.000000,0.000000,"7.207936;7.214080;7.197696;7.200768;7.199744;7.195648;7.200768;7.198720;7.196672;7.196672","5.337212;5.332666;5.344804;5.342525;5.343285;5.346326;5.342525;5.344045;5.345565;5.345565","42.697697;42.661327;42.758434;42.740196;42.746277;42.770607;42.740196;42.752357;42.764523;42.764523","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/eu-2005/eu-2005.mtx,CSR CPU,862664,862664,19235140,0,0,72.156998,76.598000,73.138802,73.128609,1.301581,0.502236,0.533147,0.526135,0.526063,0.009051,3.103514,3.294524,3.251195,3.250752,0.055932,0.000000,0.000000,0.000000,0.000000,0.000000,"72.405998;72.285004;72.714996;73.463997;76.598000;72.832001;72.350998;73.341003;73.238998;72.156998","0.531313;0.532203;0.529056;0.523662;0.502236;0.528206;0.531717;0.524540;0.525270;0.533147","3.283195;3.288690;3.269243;3.235912;3.103514;3.263991;3.285691;3.241338;3.245852;3.294524",""
./Dataset/eu-2005/eu-2005.mtx,CSR NVDA,862664,862664,19235140,256,3370,19.119104,19.201023,19.148596,19.148571,0.032269,2.003554,2.012138,2.009044,2.009042,0.003381,12.380746,12.433793,12.414677,12.414660,0.020894,0.000000,0.000000,0.000000,1.000000,0.000000,"19.138559;19.185663;19.135489;19.201023;19.134464;19.195904;19.119104;19.121153;19.129345;19.125248","2.010093;2.005158;2.010415;2.003554;2.010523;2.004088;2.012138;2.011923;2.011061;2.011492","12.421154;12.390658;12.423147;12.380746;12.423812;12.384048;12.433793;12.432461;12.427137;12.429799","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
./Dataset/eu-2005/eu-2005.mtx,CSR Vector NVDA,862664,862664,19235140,256,107833,12.683264,12.701696,12.694716,12.694715,0.007438,3.028751,3.033153,3.030417,3.030417,0.001776,18.715845,18.743046,18.726141,18.726139,0.010976,0.000000,0.000000,0.000000,1.000000,0.000000,"12.700672;12.683264;12.701696;12.695552;12.684128;12.699648;12.697600;12.699648;12.685312;12.699648","3.028996;3.033153;3.028751;3.030217;3.032947;3.029240;3.029728;3.029240;3.032663;3.029240","18.717356;18.743046;18.715845;18.724903;18.741768;18.718864;18.721884;18.718864;18.740019;18.718864","0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
